number_of_bodies,time
10,1.5330448150634766
20,5.339087724685669
30,11.589403867721558
40,20.214335203170776
50,31.497101545333862
60,44.50064969062805
70,62.0034921169281
80,79.94224309921265
90,103.56836771965027
100,121.58210802078247
110,149.89367294311523
120,177.92208290100098
130,208.02914810180664
140,241.1246259212494
150,277.0397300720215
